smiles,m,sigma,epsilon_k,m_std,sigma_std,epsilon_k_std,boiling_point_K,hfo_distance,tanimoto_nn,ad_label,mean_cv,rank_original,rank_median,rank_p05,rank_p95,rank_shift,credibility,f_mass_fraction,has_cf3,has_reactive_f,reactive_patterns,is_associating,mol_weight,heavy_atom_count,n_cc_double,n_fluorine,n_chlorine,n_hydrogen,n_carbon,lifetime_class,gwp_class,flammability_class,has_toxicity_flags,toxicity_flags,safety_score,safety_gate
F/C=C(/F)C(F)(F)C(F)F,4.0933386999999986,3.256990499999999,180.07279730000005,0.5001313680677407,0.1429654542564392,20.528599744899797,302.51855122444937,0.474687527071462,0.5,in_domain,0.0933594655717862,17,26,4,47,9,screening_ready,0.6950230587693139,False,False,,False,164.006069384,10,1,6,0,2,4,very_short,ultra_low,A1,False,,5,PASS
F/C=C(\F)C(F)(F)C(F)F,4.0933386999999986,3.256990499999999,180.07279730000005,0.5001313680677407,0.1429654542564392,20.528599744899797,302.51855122444937,0.474687527071462,0.5,in_domain,0.0933594655717862,18,26,5,46,8,screening_ready,0.6950230587693139,False,False,,False,164.006069384,10,1,6,0,2,4,very_short,ultra_low,A1,False,,5,PASS
FC(F)=C(C(F)(F)F)C(F)(F)F,4.0887886999999985,3.349295200000002,170.37851590000005,0.6293317445173969,0.1796514166071617,10.11141366842946,289.5517331521214,0.4785156465172032,0.4666666666666667,in_domain,0.0889672547633889,19,21,2,47,2,screening_ready,0.7599685401026186,True,False,,False,199.98722576,12,1,8,0,0,4,short,low,A1,False,,5,PASS
F/C(=C(\F)C(F)(F)F)C(F)(F)F,4.102769999999998,3.3077638000000023,172.71699750000013,0.5489483856138024,0.1143920505435583,12.69390775792824,292.76783778716026,0.4799300501366125,0.6666666666666666,in_domain,0.0806259222230172,20,23,3,47,3,screening_ready,0.7599685401026186,True,False,,False,199.98722576,12,1,8,0,0,4,short,low,A1,False,,5,PASS
F/C(=C(/F)C(F)(F)F)C(F)(F)F,4.102769999999998,3.3077638000000023,172.71699750000013,0.5489483856138024,0.1143920505435583,12.69390775792824,292.76783778716026,0.4799300501366125,0.6666666666666666,in_domain,0.0806259222230172,21,23,3,47,2,screening_ready,0.7599685401026186,True,False,,False,199.98722576,12,1,8,0,0,4,short,low,A1,False,,5,PASS
FC(F)=CC(F)(F)C(F)F,4.1109203,3.2606099,181.18435640000007,0.4530883509371101,0.1464125980200815,13.046652536347748,305.01041204894466,0.4814457415398098,0.3333333333333333,warning,0.0757089482963607,22,23,5,44,1,screening_with_warning,0.6950230587693139,False,False,,False,164.006069384,10,1,6,0,2,4,very_short,ultra_low,A1,False,,5,PASS
C/C(=C(\F)C(F)(F)F)C(F)(F)F,4.129369399999999,3.506188800000001,183.08553919999997,0.6873319083671585,0.2353573044172626,21.581849682508167,314.69961146197437,0.4844006062513766,0.4705882352941176,in_domain,0.1171514534808433,23,26,2,49,3,screening_with_warning,0.6784574315176822,True,False,,False,196.012297636,12,1,7,0,3,5,very_short,ultra_low,A1,False,,5,PASS
C/C(=C(/F)C(F)(F)F)C(F)(F)F,4.129369399999999,3.506188800000001,183.08553919999997,0.6873319083671585,0.2353573044172626,21.581849682508167,314.69961146197437,0.4844006062513766,0.4705882352941176,in_domain,0.1171514534808433,24,29,3,49,5,screening_with_warning,0.6784574315176822,True,False,,False,196.012297636,12,1,7,0,3,5,very_short,ultra_low,A1,False,,5,PASS
CC(=C(F)F)C(F)(F)C(F)(F)F,4.157443899999999,3.5149466000000005,183.06964359999992,0.6662761577302537,0.2628182695826909,20.73755454882511,316.0657240125966,0.4945338381435964,0.3478260869565217,warning,0.1161031652845422,25,29,4,49,4,screening_with_warning,0.6784574315176822,True,False,,False,196.012297636,12,1,7,0,3,5,very_short,ultra_low,A1,False,,5,PASS
F/C=C/C(C(F)(F)F)C(F)(F)F,4.166807799999998,3.4530169,182.00456729999993,0.5165509849135516,0.2364493565552463,12.794481998624466,313.2869091327433,0.4958170794006813,0.3157894736842105,warning,0.0875805967685095,26,26,4,47,0,screening_with_warning,0.6784574315176822,True,False,,False,196.012297636,12,1,7,0,3,5,very_short,ultra_low,A1,False,,5,PASS
F/C=C\C(C(F)(F)F)C(F)(F)F,4.166807799999998,3.4530169,182.00456729999993,0.5165509849135516,0.2364493565552463,12.794481998624466,313.2869091327433,0.4958170794006813,0.3157894736842105,warning,0.0875805967685095,27,25,4,46,2,screening_with_warning,0.6784574315176822,True,False,,False,196.012297636,12,1,7,0,3,5,very_short,ultra_low,A1,False,,5,PASS
C=CC(F)(F)C(F)(F)C(F)(F)F,4.188561799999999,3.388147400000002,181.4762335,0.8427468156954138,0.18724341101689,22.540909650007485,311.78132843350494,0.5037222868585312,0.4375,in_domain,0.1268916011149764,28,30,2,50,2,screening_with_warning,0.6784574315176822,True,False,,False,196.012297636,12,1,7,0,3,5,very_short,ultra_low,A1,False,,5,PASS
F/C=C(/CC(F)(F)F)C(F)(F)F,4.1899267999999985,3.438543300000001,182.0221924,0.5630479363195998,0.2169490732501754,13.374747129757266,313.92045059227223,0.5041221620638697,0.3636363636363636,warning,0.090317766822515,29,24,4,47,5,screening_with_warning,0.6784574315176822,True,False,,False,196.012297636,12,1,7,0,3,5,very_short,ultra_low,A1,False,,5,PASS
F/C=C(\CC(F)(F)F)C(F)(F)F,4.1899267999999985,3.438543300000001,182.0221924,0.5630479363195998,0.2169490732501754,13.374747129757266,313.92045059227223,0.5041221620638697,0.3636363636363636,warning,0.090317766822515,30,25,3,47,5,screening_with_warning,0.6784574315176822,True,False,,False,196.012297636,12,1,7,0,3,5,very_short,ultra_low,A1,False,,5,PASS
FC(F)(F)/C=C/C(F)(F)F,4.176568599999999,3.2055381999999986,171.9725632000001,0.5986322661033567,0.1562729542971528,8.56221316186217,292.090242298356,0.5138854257571487,1.0,in_domain,0.0806234331097676,31,24,3,48,7,screening_ready,0.6950230587693139,True,False,,False,164.006069384,10,1,6,0,2,4,very_short,ultra_low,A1,False,,5,PASS
FC(F)(F)/C=C\C(F)(F)F,4.176568599999999,3.2055381999999986,171.9725632000001,0.5986322661033567,0.1562729542971528,8.56221316186217,292.090242298356,0.5138854257571487,1.0,in_domain,0.0806234331097676,32,23,3,48,9,screening_ready,0.6950230587693139,True,False,,False,164.006069384,10,1,6,0,2,4,very_short,ultra_low,A1,False,,5,PASS
C=C(F)C(C(F)(F)F)C(F)(F)F,4.238895,3.4430124000000006,181.8194535,0.5506638168710561,0.2892793645703751,20.439937424438384,315.7225850538057,0.5213800553705653,0.4117647058823529,in_domain,0.1087818433039087,33,32,5,49,1,screening_with_warning,0.6784574315176822,True,False,,False,196.012297636,12,1,7,0,3,5,very_short,ultra_low,A1,False,,5,PASS
F/C(=C/C(F)(F)F)CC(F)(F)F,4.252869099999998,3.407438000000001,182.01322259999995,0.5151640217155987,0.250731148778926,13.55699258695981,315.7300844005209,0.5268787864836847,0.4090909090909091,in_domain,0.089733442909935,34,27,6,48,7,screening_ready,0.6784574315176822,True,False,,False,196.012297636,12,1,7,0,3,5,very_short,ultra_low,A1,False,,5,PASS
F/C(=C\C(F)(F)F)CC(F)(F)F,4.252869099999998,3.407438000000001,182.01322259999995,0.5151640217155987,0.250731148778926,13.55699258695981,315.7300844005209,0.5268787864836847,0.4090909090909091,in_domain,0.089733442909935,35,28,5,47,7,screening_ready,0.6784574315176822,True,False,,False,196.012297636,12,1,7,0,3,5,very_short,ultra_low,A1,False,,5,PASS
FC(F)=C(F)C(F)(F)C(F)(F)F,4.224831699999998,3.349840900000002,169.87303530000003,0.5151744798144701,0.116068109944937,14.566639218852057,294.0658155024922,0.5273475762332998,0.5,in_domain,0.0807795479070708,36,28,5,47,8,screening_ready,0.7599685401026186,True,False,,False,199.98722576,12,1,8,0,0,4,short,low,A1,False,,5,PASS
