smiles,m,sigma,epsilon_k,m_std,sigma_std,epsilon_k_std,boiling_point_K,hfo_distance,tanimoto_nn,ad_label,mean_cv,rank_original,rank_median,rank_p05,rank_p95,rank_shift,credibility,eos_convergence_count,vp_ratio_298,rho_ratio_298,property_distance_298,H_ratio,passes_all_thermo_gates,f_mass_fraction,has_cf3,has_reactive_f,reactive_patterns,is_associating,mol_weight,heavy_atom_count,n_cc_double,n_fluorine,n_chlorine,n_hydrogen,n_carbon,lifetime_class,gwp_class,flammability_class,has_toxicity_flags,toxicity_flags,safety_score,safety_gate,score_credibility,score_thermo,score_safety,score_proximity,dossier_score,dossier_rank,tier
F/C=C\C(F)(F)[C@@H](F)C(F)(F)F,4.358657499999999,3.4237831,183.41334869999991,0.5194597043397592,0.2225813885647001,14.05040173397883,322.6722902442179,0.5661392004653789,0.4444444444444444,in_domain,0.0869314387958772,49,31,6,48,18,screening_ready,3,2.4119958628927796,0.6224795649442202,1.461592965127785,2.122989686903942,False,0.6784574315176822,True,False,,False,196.012297636,12,1,7,0,3,5,very_short,ultra_low,A1,False,,5,PASS,30.0,20.0,20.0,0.3,70.3,1,Tier 1 (Recommended)
F/C=C\C(F)(F)[C@H](F)C(F)(F)F,4.358657499999999,3.4237831,183.41334869999991,0.5194597043397592,0.2225813885647001,14.05040173397883,322.6722902442179,0.5661392004653789,0.4444444444444444,in_domain,0.0869314387958772,48,31,6,48,17,screening_ready,3,2.4119958628927796,0.6224795649442202,1.461592965127785,2.122989686903942,False,0.6784574315176822,True,False,,False,196.012297636,12,1,7,0,3,5,very_short,ultra_low,A1,False,,5,PASS,30.0,20.0,20.0,0.3,70.3,2,Tier 1 (Recommended)
F/C=C/C(F)(F)[C@@H](F)C(F)(F)F,4.358657499999999,3.4237831,183.41334869999991,0.5194597043397592,0.2225813885647001,14.05040173397883,322.6722902442179,0.5661392004653789,0.4444444444444444,in_domain,0.0869314387958772,47,32,6,48,15,screening_ready,3,2.4119958628927796,0.6224795649442202,1.461592965127785,2.122989686903942,False,0.6784574315176822,True,False,,False,196.012297636,12,1,7,0,3,5,very_short,ultra_low,A1,False,,5,PASS,30.0,20.0,20.0,0.3,70.3,3,Tier 1 (Recommended)
F/C=C/C(F)(F)[C@H](F)C(F)(F)F,4.358657499999999,3.4237831,183.41334869999991,0.5194597043397592,0.2225813885647001,14.05040173397883,322.6722902442179,0.5661392004653789,0.4444444444444444,in_domain,0.0869314387958772,46,31,5,48,15,screening_ready,3,2.4119958628927796,0.6224795649442202,1.461592965127785,2.122989686903942,False,0.6784574315176822,True,False,,False,196.012297636,12,1,7,0,3,5,very_short,ultra_low,A1,False,,5,PASS,30.0,20.0,20.0,0.3,70.3,4,Tier 1 (Recommended)
FCC(F)(F)C(F)=C(F)F,4.056802399999999,3.231051899999999,183.29880310000016,0.4677916592525352,0.1238479258017266,16.120499960035033,305.2614483827019,0.4672837320538407,0.4444444444444444,in_domain,0.0805291765978253,15,23,5,45,8,screening_ready,3,4.7363986129056865,0.7864025388360952,3.742498960579576,6.550869466104507,False,0.6950230587693139,False,False,,False,164.006069384,10,1,6,0,2,4,very_short,ultra_low,A1,False,,5,PASS,30.0,15.0,20.0,3.7,68.7,5,Tier 2 (Conditional)
F/C=C(\F)C(F)(F)C(F)F,4.0933386999999986,3.256990499999999,180.07279730000005,0.5001313680677407,0.1429654542564392,20.528599744899797,302.51855122444937,0.474687527071462,0.5,in_domain,0.0933594655717862,18,26,5,46,8,screening_ready,3,5.276519604063137,0.7544905694527337,4.283560995763218,9.60896856190315,False,0.6950230587693139,False,False,,False,164.006069384,10,1,6,0,2,4,very_short,ultra_low,A1,False,,5,PASS,30.0,15.0,20.0,3.5,68.5,6,Tier 2 (Conditional)
F/C=C(/F)C(F)(F)C(F)F,4.0933386999999986,3.256990499999999,180.07279730000005,0.5001313680677407,0.1429654542564392,20.528599744899797,302.51855122444937,0.474687527071462,0.5,in_domain,0.0933594655717862,17,26,4,47,9,screening_ready,3,5.276519604063137,0.7544905694527337,4.283560995763218,9.60896856190315,False,0.6950230587693139,False,False,,False,164.006069384,10,1,6,0,2,4,very_short,ultra_low,A1,False,,5,PASS,30.0,15.0,20.0,3.5,68.5,7,Tier 2 (Conditional)
CC(F)(F)C(F)=C(F)F,3.689131799999998,3.319374400000001,184.1460069,0.4365331733863532,0.141165948941804,18.281902352720504,292.6063613118049,0.3348285677637956,0.5,in_domain,0.0867122590469174,1,14,2,38,13,screening_ready,3,7.675322691154346,0.7860285789205587,6.678751140750705,54.17993810787186,False,0.6505474126200261,False,False,,False,146.015491196,9,1,5,0,3,4,very_short,ultra_low,A1,False,,5,PASS,30.0,10.0,20.0,8.3,68.3,8,Tier 2 (Conditional)
F/C(=C/C(F)(F)F)CC(F)(F)F,4.252869099999998,3.407438000000001,182.01322259999995,0.5151640217155987,0.250731148778926,13.55699258695981,315.7300844005209,0.5268787864836847,0.4090909090909091,in_domain,0.089733442909935,34,27,6,48,7,screening_ready,3,3.172155961588131,0.6420907592737821,2.201445104030549,3.5528501799741985,False,0.6784574315176822,True,False,,False,196.012297636,12,1,7,0,3,5,very_short,ultra_low,A1,False,,5,PASS,30.0,15.0,20.0,1.7,66.7,9,Tier 2 (Conditional)
F/C(=C\C(F)(F)F)CC(F)(F)F,4.252869099999998,3.407438000000001,182.01322259999995,0.5151640217155987,0.250731148778926,13.55699258695981,315.7300844005209,0.5268787864836847,0.4090909090909091,in_domain,0.089733442909935,35,28,5,47,7,screening_ready,3,3.172155961588131,0.6420907592737821,2.201445104030549,3.5528501799741985,False,0.6784574315176822,True,False,,False,196.012297636,12,1,7,0,3,5,very_short,ultra_low,A1,False,,5,PASS,30.0,15.0,20.0,1.7,66.7,10,Tier 2 (Conditional)
