smiles,m,sigma,epsilon_k,hfo_distance,credibility,ad_label,mean_cv,eos_convergence_count,vp_ratio_298,rho_ratio_298,property_distance_298,H_ratio,passes_all_thermo_gates
CC(F)(F)C(F)=C(F)F,3.689131799999998,3.319374400000001,184.1460069,0.3348285677637956,screening_ready,in_domain,0.0867122590469174,3,7.675322691154346,0.7860285789205587,6.678751140750705,54.17993810787186,False
FC(F)=CCC(F)(F)F,3.7749204999999986,3.153498900000002,181.350453,0.3756613596184912,screening_with_warning,warning,0.1308294739578942,3,9.036857075366807,0.8916487778751798,8.037587426411575,57.68292129368492,False
F/C=C(\F)CC(F)(F)F,3.809371099999999,3.2601918999999997,181.5963972,0.3761015131704783,screening_with_warning,warning,0.1039344667256393,3,7.626296049032831,0.8017098738516861,6.629262274458299,40.81348814986261,False
F/C=C(/F)CC(F)(F)F,3.809371099999999,3.2601918999999997,181.5963972,0.3761015131704783,screening_with_warning,warning,0.1039344667256393,3,7.626296049032831,0.8017098738516861,6.629262274458299,40.81348814986261,False
F/C=C\C(F)(F)C(F)F,3.819049599999999,3.2381821999999993,181.95467000000008,0.3819374879946397,screening_with_warning,in_domain,0.1020739827583563,3,7.509886552686869,0.8174536157690666,6.512445478562498,34.76833086740201,False
F/C=C/C(F)(F)C(F)F,3.819049599999999,3.2381821999999993,181.95467000000008,0.3819374879946397,screening_with_warning,in_domain,0.1020739827583563,3,7.509886552686869,0.8174536157690666,6.512445478562498,34.76833086740201,False
FCC(F)(F)C=C(F)F,3.8195882999999986,3.2722614000000005,188.6141899000001,0.3975951981901229,screening_with_warning,warning,0.1104544453492422,3,5.007563377466921,0.8084426793655812,4.012138884872097,8.790616723991914,False
FC(F)=C(F)CC(F)F,3.8762670999999993,3.247416299999998,180.91469320000004,0.3997670397174226,high_extrapolation_risk,ood,0.0970933638078641,3,7.188028170723287,0.7980585210243296,6.191322395304243,29.669412062148766,False
FC(F)=CC(F)(F)C(F)(F)F,3.9238712,3.3267765000000016,176.3597813000001,0.4107636640358061,screening_with_warning,warning,0.0853452450688574,3,8.006844565585956,0.7236165551408075,7.012293389104144,73.43001094389746,False
FC(F)=C(F)CC(F)(F)F,3.9836432999999984,3.3353066999999994,178.6938263,0.4308132546632955,screening_with_warning,warning,0.0889402953982975,3,6.337610961520332,0.7151458290471343,5.3452065138076055,25.04029577308619,False
F/C(=C/C(F)(F)F)C(F)(F)F,3.9798863,3.268464200000001,175.53162690000008,0.4348987731900142,screening_ready,in_domain,0.083193819390158,3,8.114707568557575,0.7521859331553091,7.119022095612328,57.73040503378725,False
F/C(=C\C(F)(F)F)C(F)(F)F,3.9798863,3.268464200000001,175.53162690000008,0.4348987731900142,screening_ready,in_domain,0.083193819390158,3,8.114707568557575,0.7521859331553091,7.119022095612328,57.73040503378725,False
