screening_method,n_candidates,H_ratio_min,H_ratio_median,H_ratio_max,n_H_gt_10,n_H_gt_100,n_H_gt_1000
VP-only,946,0.5692885288583343,0.7936380242317139,1.347616408476122,0,0,0
Henry-screened,946,0.5692885288583343,0.7936380242317139,1.347616408476122,0,0,0
