smiles,name,T_b_exp_K,rf_T_b_K,rf_T_b_error_K,spt_T_b_K,spt_T_b_error_K,tanimoto_nn,nn_smiles,ad_status,rf_m,rf_sigma,rf_epsilon_k,rf_m_std,rf_sigma_std,rf_epsilon_k_std,rf_eps_lo95,rf_eps_hi95,VP_ratio_mean,VP_ratio_lo,VP_ratio_hi,H_ratio_tree_mean,H_ratio_tree_lo,H_ratio_tree_hi,H_ratio_combined_mean,H_ratio_combined_lo,H_ratio_combined_hi,spt_m,spt_sigma,spt_epsilon_k,delta_epsilon_k,rf_H_ratio,spt_H_ratio
C=C(Cl)CC,1-chlorobut-1-ene,337.0,343.9677311888134,6.967731188813389,330.3937185298101,-6.606281470189913,0.5,C=C(C)CC,in_domain,2.5968950000000013,3.7040503999999994,267.8293225,0.2790086029265048,0.11736645443157935,27.26462709835337,214.3906533872274,321.26799161277256,2.7623978915309557,0.20046837499971037,11.200018477072465,7346564711.9637375,0.4273254583242946,2770.1945480658874,2.4185343133227395e+20,0.21047943197789584,96146.70839242071,2.8315274715423584,3.605384826660156,243.7177581787109,24.11156432128908,1.0522622816550509,1.776731215184167
C/C=C(/C)Cl,(Z)-2-chloro-2-butene,341.0,344.88154336604674,3.881543366046742,329.87065210224864,-11.129347897751359,0.45454545454545453,CC=C(C)C,in_domain,2.6331588000000004,3.659835300000001,267.08163229999997,0.23363524756457446,0.1473832224675183,24.9145383722484,218.2491370903931,315.91412750960683,4.466176937369876,0.23140529644881586,55.04501418992187,985.2997442521664,0.4456125719668126,29.27915909326327,670312783.6104494,0.20043799219004724,645.730012314928,2.827454805374145,3.482512950897217,246.09429931640625,20.987332983593603,1.0232410155388403,1.8414168704436988
C/C=C(\C)Cl,(E)-2-chloro-2-butene,336.0,344.88154336604674,8.881543366046742,329.0263024419083,-6.973697558091715,0.45454545454545453,CC=C(C)C,in_domain,2.6331588000000004,3.659835300000001,267.08163229999997,0.23363524756457446,0.1473832224675183,24.9145383722484,218.2491370903931,315.91412750960683,4.466176937369876,0.23140529644881586,55.04501418992187,985.2997442521664,0.4456125719668126,29.27915909326327,670312783.6104494,0.20043799219004724,645.730012314928,2.8394508361816406,3.488720417022705,244.5770568847656,22.504575415234257,1.0232410155388403,1.913700953429514
