smiles,m,sigma,epsilon_k
CCCCCC#N,3.623484041450161,3.5772422988817505,279.3350255384838
CCCCCCCC#N,4.26763565819269,3.686301521399423,276.11731215943325
FC(F)(F)P(Cl)Cl,3.8893128765680567,3.2300372600305973,191.74237308095613
CC(C)C(C)(C)O,3.1121491575003506,3.8042472769197864,249.8583748104436
CCC(C)C(C)O,3.624115001161462,3.601791992858706,242.36944244709815
C1CCC1,2.1924225198958736,3.5877701831961177,247.53914970819213
C=C(C)C,2.2771579327116545,3.6405561905924033,222.07407281987855
C/C=C/C,2.3347591133661343,3.612016246502853,225.8659740569912
C/C=C\C,2.384309536190128,3.5595589147423343,226.21516804498944
FC(Cl)(Cl)Cl,2.2773096655316047,3.684885175249179,249.4829113822947
CCC(C)(C)CO,3.220070204225251,3.7643664460248742,258.86473752805426
CCC(CC)CO,3.3809299677800753,3.7008993112337887,262.0845388835886
CCC(C)(O)CC,3.7321435883992526,3.5551883330098817,242.86549581981083
CC(C)CC(C)O,3.2970386160632343,3.758536429835727,249.9387728985305
CCCC(C)CO,3.404990195832002,3.7085144421949208,258.68772678565495
CCCCCCl,3.249322527455677,3.657592084498487,259.0538541844388
C=C=C,1.8694253219466648,3.444193266211195,230.10741934513376
CC(=O)OC(C)C,3.760233556892722,3.422149117960798,227.51291939962152
CNc1ccccc1,4.188925209245469,3.30327859314552,284.9615265484771
CN(C)c1ccccc1,3.842500239031808,3.580383160363486,292.79694264530406
CCNc1ccccc1,4.367773143821904,3.4251268207899104,280.55559493936744
CCN(CC)c1ccccc1,4.855378627105663,3.5691673328055726,267.9831159828012
COC,2.2899934977382665,3.2406774471680513,212.43210901593636
FCC(F)(F)F,3.222003466529274,3.0210625958616992,171.3126582053992
C1CCNC1,2.9965515809258587,3.3165172643055403,262.2042460129385
CCCSSCCC,3.9831464660433062,3.7880477726677713,283.19571444498695
CCC(C)S,2.68696232550258,3.7621290761613033,272.25071327884825
CC(C)CS,1.2537933736115732,4.999999999614689,394.36925965236344
c1ccncc1,2.65103066272745,3.4608510271109125,307.97238675338997
CCCS,1.6195858820430211,4.2654423271866575,335.43652863733087
CC(C)S,2.389788389946504,3.6890942746952646,267.54272641420647
C=C1CCC2CC1C2(C)C,2.9213542120329423,4.1990383753904705,310.22178033988536
C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1,5.516258060906614,4.190633754232562,217.08169267644593
CCSCC,2.8655914619908596,3.674697725033574,268.5296057823238
CCSSCC,3.2651271515606712,3.7249588017981985,291.0673993666806
CCS,1.0000000000115643,4.720662136377073,380.007921081016
C/C=C\CC,2.7808619383986977,3.618411786634349,229.73129771942564
CSSC,2.542471977065132,3.6173290479042217,307.7576815431878
CCc1cccc2ccccc12,4.149751225819319,3.761340404504101,316.8383577532212
CCc1ccc2ccccc2c1,3.7486745037465994,3.9219979872685986,333.8087780451631
CC(C)c1ccc2ccccc2c1,4.004576233760597,3.967825777491445,325.5075311390458
CC(=O)C=C(C)C,3.296357291447624,3.608339083391498,273.4943726138357
CC(C)CC(=O)CC(C)C,4.518783623720943,3.740020780232315,245.85784179574503
CC(C)CC(O)CC(C)C,3.291321223964984,4.249653431571817,273.66359036859
CC(O)C(C)O,4.710406774142136,2.992961118164967,250.5988991676475
CN1CCCN(C)C1=O,2.971967450781591,3.894928193162832,379.0550137919729
CN1CCN(C)C1=O,2.494361560395837,3.9851810270356127,405.2500738177365
CC(=O)OC(C)=O,3.8958201548887,3.1997351845513133,261.13576630255983
Cc1ccnc(C)c1,3.409206336940218,3.5936784009364664,289.3604216189061
Cc1cccc(C)n1,3.3329916187886175,3.617855090757357,282.6490166812831
Cc1cncc(C)c1,3.297299772235136,3.630964900494239,304.8261391601012
C1CCC(C2CCCCC2)CC1,4.134263731486438,3.995791070380774,299.4219588518455
C#CCCCCCC,3.952532524313976,3.6630930811112896,240.67450442391944
C#CCCCCCCC,4.234483955404251,3.723134206326224,245.36708053288768
C#CCCCCC,3.745572562873224,3.565733979864759,233.09947937048307
C=CC=C,2.2538694266972485,3.5720269724480067,227.64788750964152
Cc1ccccc1N,2.763919717608394,3.8514090619765495,349.1644452925918
Cc1cccc([N+](=O)[O-])c1,4.087150284595596,3.4534137383284302,302.651162138687
Cc1cccc(N)c1,3.4571702110612104,3.558114617453107,316.80614270835116
Cc1ccc(N)cc1,3.6068777804976264,3.4969082631605968,309.86221756052146
Cc1ccc(N)c(C)c1,3.026050840505512,3.922313624196827,338.9743867701336
CCOC(C)OCC,3.627820603337813,3.714460603842036,237.54829430083532
COC(C)OC,3.3216477921782985,3.427565621824192,227.5975916417243
COCOC,2.9869420251065995,3.3329147709104356,228.7325471297867
CCOCOCC,3.6292412288075218,3.53936818487919,229.55470262566016
CCCCC#N,3.0109349672663166,3.622983601346352,293.3444039296807
CCCCCCC#N,3.6025517697080645,3.755588825752885,291.30709980178847
C=CCC#N,2.6821546911182708,3.450095415669849,306.2946221545822
