target,mae,rmse,r2,n_train,n_test,experiment
m,0.5850196213296398,1.160136932262808,0.6193922187600687,1440,361,baseline
sigma,0.18871595235457078,0.3245022592972249,0.35267145740856887,1440,361,baseline
epsilon_k,26.83199189722992,51.281381779561094,0.3298294196418595,1440,361,baseline
m,0.5859275745152352,1.1537384525502377,0.623578958080245,1440,361,augmented
sigma,0.1864186725761774,0.323322034612405,0.3573716021383748,1440,361,augmented
epsilon_k,27.230319949584498,52.68507098470662,0.292639083133742,1440,361,augmented
m,0.7703801053611203,1.3076132000922855,0.5164763178559225,1440,361,gc_only
sigma,0.23043826661523667,0.3540801363929642,0.22928744317507144,1440,361,gc_only
epsilon_k,36.27485807899617,57.99061218302193,0.14299904021105347,1440,361,gc_only
